TSO_yrs,BIO_ZONE,SEVERITY_cl,se_Live_C,n_Live_C,se_Dead_C_new_h,n_Dead_C_new_h,ci_Live_C_lower,ci_Live_C_upper,ci_Dead_C_lower,ci_Dead_C_upper,Carbon_Type,Mean_Carbon
26,Balsam_fir-yellow_birch,Low,6.84,15,0.50,15.00,66.12,92.94,0.88,2.86,Live_Carbon,79.53
26,Balsam_fir-yellow_birch,Low,6.84,15,0.50,15.00,66.12,92.94,0.88,2.86,Dead_Carbon,1.87
26,Balsam_fir-yellow_birch,Moderate,3.97,16,1.94,16.00,49.85,65.41,3.48,11.09,Live_Carbon,57.63
26,Balsam_fir-yellow_birch,Moderate,3.97,16,1.94,16.00,49.85,65.41,3.48,11.09,Dead_Carbon,7.29
26,Balsam_fir-yellow_birch,High,3.51,11,2.94,11.00,25.21,38.97,2.41,13.91,Live_Carbon,32.09
26,Balsam_fir-yellow_birch,High,3.51,11,2.94,11.00,25.21,38.97,2.41,13.91,Dead_Carbon,8.16
29,Balsam_fir-white_birch,Low,3.06,11,0.58,11.00,60.71,72.71,-0.08,2.17,Live_Carbon,66.71
29,Balsam_fir-white_birch,Low,3.06,11,0.58,11.00,60.71,72.71,-0.08,2.17,Dead_Carbon,1.05
29,Balsam_fir-white_birch,Moderate,3.05,20,0.63,20.00,50.58,62.54,1.43,3.91,Live_Carbon,56.56
29,Balsam_fir-white_birch,Moderate,3.05,20,0.63,20.00,50.58,62.54,1.43,3.91,Dead_Carbon,2.67
29,Balsam_fir-white_birch,High,2.18,56,0.78,56.00,35.38,43.92,2.19,5.25,Live_Carbon,39.65
29,Balsam_fir-white_birch,High,2.18,56,0.78,56.00,35.38,43.92,2.19,5.25,Dead_Carbon,3.72
29,Balsam_fir-yellow_birch,Low,5.79,21,0.35,21.00,73.36,96.06,0.18,1.54,Live_Carbon,84.71
29,Balsam_fir-yellow_birch,Low,5.79,21,0.35,21.00,73.36,96.06,0.18,1.54,Dead_Carbon,0.86
29,Balsam_fir-yellow_birch,Moderate,5.63,10,2.57,10.00,42.83,64.89,1.08,11.13,Live_Carbon,53.86
29,Balsam_fir-yellow_birch,Moderate,5.63,10,2.57,10.00,42.83,64.89,1.08,11.13,Dead_Carbon,6.10
29,Balsam_fir-yellow_birch,High,3.64,22,0.74,22.00,33.27,47.53,0.62,3.51,Live_Carbon,40.40
29,Balsam_fir-yellow_birch,High,3.64,22,0.74,22.00,33.27,47.53,0.62,3.51,Dead_Carbon,2.06
32,Balsam_fir-yellow_birch,Moderate,4.20,11,1.45,11.00,50.20,66.65,-0.33,5.37,Live_Carbon,58.42
32,Balsam_fir-yellow_birch,Moderate,4.20,11,1.45,11.00,50.20,66.65,-0.33,5.37,Dead_Carbon,2.52
32,Balsam_fir-yellow_birch,High,5.43,12,0.42,12.00,29.85,51.15,0.24,1.90,Live_Carbon,40.50
32,Balsam_fir-yellow_birch,High,5.43,12,0.42,12.00,29.85,51.15,0.24,1.90,Dead_Carbon,1.07
